"","Practice.Code","Volume","Cost","ID","Cluster"
"556","A88022",1130095,112949.02234,556,1
"557","A88023",1027987,85852.76313,557,1
"558","A88025",756608,76941.75152,558,1
"559","A88601",429632,42238.77549,559,1
"560","A88603",647878,58701.53399,560,1
"561","A88608",1085989,98959.98241,561,1
"562","A88611",293708,34465.47106,562,1
"563","A88613",695571,65171.49063,563,1
"564","A88614",269567,26063.22807,564,1
"565","A89001",2738730,237312.11952,565,1
"566","A89002",613983,53760.85785,566,1
"567","A89003",840744,89958.2797,567,1
"568","A89004",2398542,219256.84013,568,1
"569","A89005",1087876,98154.36877,569,1
"570","A89006",1138448,97911.54957,570,1
"571","A89007",1921049,162092.48756,571,1
"572","A89008",778485,78031.61005,572,1
"573","A89009",1373289,105609.08829,573,1
"574","A89010",1899216,186191.0281,574,1
"575","A89011",650624,65274.39261,575,1
"576","A89012",713481,70320.87526,576,1
"577","A89013",1392461,120633.70775,577,1
"578","A89014",578597,42944.78892,578,1
"579","A89015",1630124,150268.01806,579,1
"580","A89016",1291258,110947.2193,580,1
"581","A89017",2310185,195924.69438,581,1
"582","A89018",834698,79464.15377,582,1
"583","A89019",2078364,179758.50485,583,1
"584","A89020",1351450,134979.13183,584,1
"585","A89021",1680142,157899.87819,585,1
"586","A89022",904778,87067.23386,586,1
"587","A89023",1357349,112542.40462,587,1
"588","A89024",1077039,93717.85577,588,1
"589","A89025",937109,86584.71987,589,1
"590","A89026",494100,42789.90153,590,1
"591","A89027",1132841,100802.05976,591,1
"592","A89028",1063593,101276.38232,592,1
"593","A89029",338867,30301.06102,593,1
"594","A89030",1111197,105965.61963,594,1
"595","A89031",820969,77951.8192,595,1
"596","A89032",774362,77990.91786,596,1
"597","A89034",434228,46249.19815,597,1
"598","A89035",927179,93390.21194,598,1
"599","A89036",445111,33185.71639,599,1
"600","A89038",578506,63039.89028,600,1
"601","A89040",589841,45980.48677,601,1
"602","A89041",1038772,89097.56493,602,1
"603","A89042",878345,84784.66595,603,1
"604","A89603",258364,30810.04502,604,1
"605","A89604",719912,64133.96694,605,1
"606","A89610",498742,47599.36706,606,1
"607","A89611",250028,21918.18827,607,1
"608","A89612",297353,32219.51593,608,1
"609","A89614",634154,66609.32097,609,1
"610","A89616",221869,27325.39035,610,1
"611","A89617",342293,32488.27604,611,1
"612","A89618",1457,115.46341,612,1
"613","A89620",445218,39412.35446,613,1
"614","A89621",437547,43288.73506,614,1
"615","A89623",353777,34697.56978,615,1
"616","A89624",325626,37168.49386,616,1
"617","A89632",56,4.87151,617,1
"618","A89634",470,454.54868,618,1
"619","B81002",616391,56173.43496,619,1
"620","B81003",2301774,218185.19911,620,1
"621","B81004",2718858,256497.51697,621,1
"622","B81005",2442381,248888.46194,622,1
"623","B81006",1799623,172368.15193,623,1
"624","B81007",1462072,145822.69392,624,1
"625","B81008",2524973,233424.73627,625,1
"626","B81009",1244965,127680.46404,626,1
"627","B81010",1986325,181361.95061,627,1
"628","B81011",1373472,131451.5049,628,1
"629","B81012",728703,68922.67179,629,1
"630","B81013",1281020,122739.79611,630,1
"631","B81014",1394839,135153.66186,631,1
"632","B81015",2376280,210579.89212,632,1
"633","B81016",1081320,100767.68762,633,1
"634","B81017",1440627,121112.41712,634,1
"635","B81018",1182528,109623.99119,635,1
"636","B81019",393365,41299.35033,636,1
"637","B81020",1417335,113143.60873,637,1
"638","B81021",1362239,116718.56325,638,1
"639","B81022",2169419,227774.97388,639,1
"640","B81023",974718,89860.4376,640,1
"641","B81024",1530483,136368.62084,641,1
"642","B81025",2487286,233905.43286,642,1
"643","B81026",3451996,275873.94658,643,1
"644","B81027",1175708,97830.66834,644,1
"645","B81029",1363276,128227.38841,645,1
"646","B81030",1913517,170229.77506,646,1
"647","B81031",2233357,179452.02695,647,1
"648","B81032",168474,13971.96045,648,1
"649","B81034",1842364,184603.40074,649,1
"650","B81035",1060135,82108.98942,650,1
"651","B81036",1943126,192085.49302,651,1
"652","B81037",2644299,264072.23699,652,1
"653","B81038",1451488,126757.05854,653,1
"654","B81039",3062250,272401.8817,654,1
"655","B81040",2861732,232306.9189,655,1
"656","B81041",844298,92802.85371,656,1
"657","B81042",1791715,159677.17827,657,1
"658","B81043",2659186,270626.95877,658,1
"659","B81044",969217,102169.2802,659,1
"660","B81045",2266142,193933.17377,660,1
"661","B81046",1577568,127444.93409,661,1
"662","B81047",1050295,103165.67635,662,1
"663","B81048",926587,105979.91312,663,1
"664","B81049",1279802,115419.46421,664,1
"665","B81050",1698826,182991.96894,665,1
"666","B81051",1547307,147646.77547,666,1
"667","B81052",630028,67837.87811,667,1
"668","B81053",2511814,212985.93157,668,1
"669","B81054",1876686,161039.03762,669,1
"670","B81055",708276,61729.82108,670,1
"671","B81056",1937538,199590.82991,671,1
"672","B81057",329636,35108.06302,672,1
"673","B81058",1165526,107148.72597,673,1
"674","B81060",1869563,179105.33449,674,1
"675","B81061",2620720,262241.88326,675,1
"676","B81062",1899255,177654.51296,676,1
"677","B81063",1006413,96536.29835,677,1
"678","B81064",1288019,136974.71271,678,1
"679","B81065",1903497,172541.53107,679,1
"680","B81066",331112,31163.4552,680,1
"681","B81068",2747022,240413.64771,681,1
"682","B81069",2098757,191544.61674,682,1
"683","B81070",1103401,103872.39943,683,1
"684","B81072",898263,94204.76637,684,1
"685","B81074",330239,36694.48542,685,1
"686","B81075",182960,15649.10846,686,1
